jobid,filename,file,mpi_size,code_version,runid,graph,metis_zero_based,tweets,stats,params,discount,corr,source_map,indir,outdir,features,sources,samples,epsilon,max_depth,max_nodes,sample_split,seed,command,topic,setuptime,cfeatures,csources,csamples,mae_retweet_probability,mae_mean_retweets,mape_retweet_probability,mape_mean_retweets,runtime,totaltime,nodes,mpiprocs,walltime,grid,opt
1341840,out-opt-neos_1341840.hawk-pbs5-20210831T1640,/Users/ian/duck/hawk/propagation/out/opt-neos_1341840.hawk-pbs5/out-opt-neos_1341840.hawk-pbs5-20210831T1640,4096,v0.2-33-g7d78804,opt-neos_1341840.hawk-pbs5,data/anon_graph_outer_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,,,,,data,out/opt-neos_1341840.hawk-pbs5,1,64,1000,1.0,,,1,88353713216932525870216698492090712175,optimize,neos,16.83373188972473,,,,,,,,3900.911910533905,3920.532464027405,32,,,"{'discount_factor': (0.0, 1.0, 0.1), 'corr': (0.0, 1.0, 0.1)}","{'discount_factor': (0.0, 1.0, 0.01), 'corr': (0.0, 0.005, 0.0001)}"
1341841,out-val-opt-neos_1341841.hawk-pbs5-20210831T1856,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341841.hawk-pbs5/out-val-opt-neos_1341841.hawk-pbs5-20210831T1856,2048,v0.2-33-g7d78804,val-opt-neos_1341841.hawk-pbs5,data/anon_graph_outer_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341841.hawk-pbs5,1,256,1000,1.0,,,1,187734771732895539428612208640132916893,val,neos,13.346040487289429,91,256,1000,0.0007090609172611,0.6175193915562549,0.0015251578430063,0.1720947353149512,23.78732466697693,39.5208854675293,16,,,,
1341842,out-opt-fpoe_1341842.hawk-pbs5-20210831T1827,/Users/ian/duck/hawk/propagation/out/opt-fpoe_1341842.hawk-pbs5/out-opt-fpoe_1341842.hawk-pbs5-20210831T1827,4096,v0.2-33-g7d78804,opt-fpoe_1341842.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,,,,,data,out/opt-fpoe_1341842.hawk-pbs5,1,64,1000,1.0,,,1,293387613001091983364705202239845075749,optimize,fpoe,22.58547592163086,,,,,,,,7527.317516565323,7554.830927371979,32,,,"{'discount_factor': (0.0, 1.0, 0.1), 'corr': (0.0, 1.0, 0.1)}","{'discount_factor': (0.0, 1.0, 0.01), 'corr': (0.0, 0.005, 0.0001)}"
1341843,out-val-opt-fpoe_1341843.hawk-pbs5-20210831T2135,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341843.hawk-pbs5/out-val-opt-fpoe_1341843.hawk-pbs5-20210831T2135,2048,v0.2-33-g7d78804,val-opt-fpoe_1341843.hawk-pbs5,data/anon_graph_outer_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341843.hawk-pbs5,1,256,1000,1.0,,,1,121074922650726516754803782122197926320,val,fpoe,22.78780031204224,132,256,1000,0.0006423339995521,0.91907601839061,0.0013568439361569,0.1848736322063782,103.70931220054626,130.8458652496338,16,,,,
1347816,out-val-opt-neos_1341840_1347816.hawk-pbs5-20210902T1813.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1347816.hawk-pbs5/out-val-opt-neos_1341840_1347816.hawk-pbs5-20210902T1813.txt,128,v0.2-35-gb726c4d,val-opt-neos_1341840_1347816.hawk-pbs5,data/anon_graph_inner_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1347816.hawk-pbs5,1,256,1000,1.0,,,1,210393420267809184728156345822505903758,val,neos_20201110,1.8035776615142824,91,256,1000,0.0108445594232502,15.806851607631817,0.0233261549969577,4.405166834878735,37.39333605766296,39.88929343223572,1,,,,
1347820,out-val-opt-neos_1341840_1347820.hawk-pbs5-20210902T1819.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1347820.hawk-pbs5/out-val-opt-neos_1341840_1347820.hawk-pbs5-20210902T1819.txt,128,v0.2-35-gb726c4d,val-opt-neos_1341840_1347820.hawk-pbs5,data/anon_graph_inner_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1347820.hawk-pbs5,1,256,1000,1.0,,,1,2381994509944507529710431438855338291,val,neos_20201110,2.058546304702759,91,256,1000,0.0110264068865006,15.788466857110343,0.0237173006348789,4.400043240675724,36.56417202949524,39.39069700241089,1,,,,
1347821,out-val-opt-neos_1341840_1347821.hawk-pbs5-20210902T1819.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1347821.hawk-pbs5/out-val-opt-neos_1341840_1347821.hawk-pbs5-20210902T1819.txt,128,v0.2-35-gb726c4d,val-opt-neos_1341840_1347821.hawk-pbs5,data/anon_graph_inner_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1347821.hawk-pbs5,1,256,1000,1.0,,,1,322713064958100798475109907350469751234,val,neos_20201110,2.0126402378082275,91,256,1000,0.0111705903954,15.765482396258696,0.0240274328168634,4.3936377661907,37.90763163566589,40.68306136131287,1,,,,
1347822,out-val-opt-neos_1341840_1347822.hawk-pbs5-20210902T1819.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1347822.hawk-pbs5/out-val-opt-neos_1341840_1347822.hawk-pbs5-20210902T1819.txt,128,v0.2-35-gb726c4d,val-opt-neos_1341840_1347822.hawk-pbs5,data/anon_graph_inner_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1347822.hawk-pbs5,1,256,1000,1.0,,,1,201012869774440333839690730723417298096,val,neos_20201110,1.93107271194458,91,256,1000,0.0113125907474284,15.776727159308145,0.0243328691275295,4.396771537448955,37.33026313781738,39.94541025161743,1,,,,
1347823,out-val-opt-neos_1341840_1347823.hawk-pbs5-20210902T1819.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1347823.hawk-pbs5/out-val-opt-neos_1341840_1347823.hawk-pbs5-20210902T1819.txt,128,v0.2-35-gb726c4d,val-opt-neos_1341840_1347823.hawk-pbs5,data/anon_graph_inner_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1347823.hawk-pbs5,1,256,1000,1.0,,,1,51909865942197777609568620907953948070,val,neos_20201110,1.8228645324707031,91,256,1000,0.0104121298464127,15.783614135613092,0.0223960186086638,4.398690849426079,37.4220073223114,39.881388902664185,1,,,,
1347824,out-val-opt-neos_1341840_1347824.hawk-pbs5-20210902T1819.txt,/Users/ian/duck/hawk/propagation/out/val-opt-neos_1341840_1347824.hawk-pbs5/out-val-opt-neos_1341840_1347824.hawk-pbs5-20210902T1819.txt,128,v0.2-35-gb726c4d,val-opt-neos_1341840_1347824.hawk-pbs5,data/anon_graph_inner_neos_20201110.npz,False,data/sim_features_neos_20201110.csv,,out/opt-neos_1341840.hawk-pbs5/params-neos-opt-neos_1341840.hawk-pbs5.csv,,,,data,out/val-opt-neos_1341840_1347824.hawk-pbs5,1,256,1000,1.0,,,1,270130074233041850374940202322277946481,val,neos_20201110,1.931848764419556,91,256,1000,0.0108464237287616,15.790467071739466,0.0233301650334767,4.400600674841968,37.91893219947815,40.50974464416504,1,,,,
1347826,out-val-opt-fpoe_1341842_1347826.hawk-pbs5-20210902T1820.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1347826.hawk-pbs5/out-val-opt-fpoe_1341842_1347826.hawk-pbs5-20210902T1820.txt,128,v0.2-35-gb726c4d,val-opt-fpoe_1341842_1347826.hawk-pbs5,data/anon_graph_inner_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1347826.hawk-pbs5,1,256,1000,1.0,,,1,217281134999554953641017181532821520821,val,fpoe_20201110,1.5798282623291016,132,256,1000,0.0161009442964957,31.175069566719493,0.0340110731338084,6.2709158217165815,150.08390140533447,152.70093655586243,1,,,,
1347908,out-val-opt-fpoe_1341842_1347908.hawk-pbs5-20210902T1828.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1347908.hawk-pbs5/out-val-opt-fpoe_1341842_1347908.hawk-pbs5-20210902T1828.txt,128,v0.2-35-gb726c4d,val-opt-fpoe_1341842_1347908.hawk-pbs5,data/anon_graph_inner_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1347908.hawk-pbs5,1,256,1000,1.0,,,1,310337292091541020682765949404336396786,val,fpoe_20201110,1.2317256927490234,132,256,1000,0.0153532030561553,31.21218225611343,0.0324315706187963,6.278381099399724,128.9998641014099,131.47388815879822,1,,,,
1347909,out-val-opt-fpoe_1341842_1347909.hawk-pbs5-20210902T1828.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1347909.hawk-pbs5/out-val-opt-fpoe_1341842_1347909.hawk-pbs5-20210902T1828.txt,128,v0.2-35-gb726c4d,val-opt-fpoe_1341842_1347909.hawk-pbs5,data/anon_graph_inner_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1347909.hawk-pbs5,1,256,1000,1.0,,,1,103469318034640041751741556631096114534,val,fpoe_20201110,1.72033953666687,132,256,1000,0.0157761639663347,31.24896623396284,0.033325018492657,6.285780256222387,146.3569414615631,149.29519724845886,1,,,,
1347910,out-val-opt-fpoe_1341842_1347910.hawk-pbs5-20210902T1828.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1347910.hawk-pbs5/out-val-opt-fpoe_1341842_1347910.hawk-pbs5-20210902T1828.txt,128,v0.2-35-gb726c4d,val-opt-fpoe_1341842_1347910.hawk-pbs5,data/anon_graph_inner_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1347910.hawk-pbs5,1,256,1000,1.0,,,1,99623019592964863986550861797432651805,val,fpoe_20201110,1.8231077194213867,132,256,1000,0.015227831967864,31.2135225194742,0.0321667411048114,6.278650695549186,147.83753991127014,150.61010432243347,1,,,,
1347911,out-val-opt-fpoe_1341842_1347911.hawk-pbs5-20210902T1828.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1347911.hawk-pbs5/out-val-opt-fpoe_1341842_1347911.hawk-pbs5-20210902T1828.txt,128,v0.2-35-gb726c4d,val-opt-fpoe_1341842_1347911.hawk-pbs5,data/anon_graph_inner_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1347911.hawk-pbs5,1,256,1000,1.0,,,1,17476677908472637518260118881163661186,val,fpoe_20201110,1.8050923347473145,132,256,1000,0.0154738263054315,31.204346569895243,0.0326863709632498,6.2768049384043385,149.85057139396667,152.65388870239258,1,,,,
1347912,out-val-opt-fpoe_1341842_1347912.hawk-pbs5-20210902T1828.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1347912.hawk-pbs5/out-val-opt-fpoe_1341842_1347912.hawk-pbs5-20210902T1828.txt,128,v0.2-35-gb726c4d,val-opt-fpoe_1341842_1347912.hawk-pbs5,data/anon_graph_inner_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1347912.hawk-pbs5,1,256,1000,1.0,,,1,284690054681307973208906371586531210217,val,fpoe_20201110,1.85642671585083,132,256,1000,0.0148890505548592,31.19789509286436,0.0314511110646162,6.275507213332708,146.06498408317566,148.92942833900452,1,,,,
1347913,out-val-opt-fpoe_1341842_1347913.hawk-pbs5-20210902T1828.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1347913.hawk-pbs5/out-val-opt-fpoe_1341842_1347913.hawk-pbs5-20210902T1828.txt,128,v0.2-35-gb726c4d,val-opt-fpoe_1341842_1347913.hawk-pbs5,data/anon_graph_inner_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1347913.hawk-pbs5,1,256,1000,1.0,,,1,170349032268960873715455586417048516462,val,fpoe_20201110,1.6592552661895752,132,256,1000,0.0149480486394745,31.17604015678481,0.0315757365607148,6.271111057482905,147.73806881904602,150.46598291397095,1,,,,
1347914,out-val-opt-fpoe_1341842_1347914.hawk-pbs5-20210902T1828.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1347914.hawk-pbs5/out-val-opt-fpoe_1341842_1347914.hawk-pbs5-20210902T1828.txt,128,v0.2-35-gb726c4d,val-opt-fpoe_1341842_1347914.hawk-pbs5,data/anon_graph_inner_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1347914.hawk-pbs5,1,256,1000,1.0,,,1,286837025911400139151965526538171169987,val,fpoe_20201110,1.5940430164337158,132,256,1000,0.0155849039917871,31.19531625232555,0.032921007593537,6.274988475374423,151.3398015499115,153.94489645957947,1,,,,
1347915,out-val-opt-fpoe_1341842_1347915.hawk-pbs5-20210902T1828.txt,/Users/ian/duck/hawk/propagation/out/val-opt-fpoe_1341842_1347915.hawk-pbs5/out-val-opt-fpoe_1341842_1347915.hawk-pbs5-20210902T1828.txt,128,v0.2-35-gb726c4d,val-opt-fpoe_1341842_1347915.hawk-pbs5,data/anon_graph_inner_fpoe_20201110.npz,False,data/sim_features_fpoe_20201110.csv,,out/opt-fpoe_1341842.hawk-pbs5/params-fpoe-opt-fpoe_1341842.hawk-pbs5.csv,,,,data,out/val-opt-fpoe_1341842_1347915.hawk-pbs5,1,256,1000,1.0,,,1,256036626816342410422298733341684278636,val,fpoe_20201110,1.5567140579223633,132,256,1000,0.0157870867813149,31.17359516449412,0.0333480914660354,6.27061924331688,149.77254819869995,152.34802341461182,1,,,,
